"Hours_work","Salary"
6,90.47
2,34.55
5,77.58
2,31.15
4,61.33
7,105.26
5,80.59
7,107.16
6,99.99
7,111.1
7,116.16
4,87.84
6,94.32
7,117.7
2,39.15
5,80.3
7,122
8,127.56
7,106.43
7,106.59
8,120.49
6,94.36
6,97.94
4,60.25
4,61.51
5,79.4
2,38.89
5,77.11
5,79.66
3,45.53
6,90.32
2,35.67
5,87.45
6,94.92
5,82.51
3,48.78
8,123.09
5,83.74
5,76.02
4,69.46
5,75.31
6,94.91
6,95.22
4,76.51
7,105.93
2,39.27
6,91.89
6,99.46
4,69.25
8,127.3
2,32.84
5,99.49
5,76.95
1,16.01
3,58.41
6,96.44
6,91.57
4,61.07
4,60.75
2,44.85
7,117.79
4,74.27
5,75.86
7,107.53
2,34.1
6,92.44
2,35.36
4,65.84
4,63.76
7,129.12
7,105.62
2,31.49
7,108.95
7,105.17
6,101.97
5,80.25
5,83.35
3,49.64
6,90.12
6,90.48
3,49.23
4,61.62
5,81.07
5,81.79
5,75.62
7,106.45
5,85.81
6,96.63
6,101.1
3,46.93
7,105.72
7,125.93
6,91.9
2,34.39
3,48.51
7,109.01
7,113.88
8,122.83
7,124.03
4,70.57
